t, reading, imuVal 
549.42200, 488.00000, 19524.00000
549.47200, 535.00000, 22662.00000
549.52100, 517.00000, 29460.00000
549.57100, 510.00000, 16614.00000
549.62200, 492.00000, 23476.00000
549.67200, 525.00000, 22184.00000
549.72200, 530.00000, 19838.00000
549.77200, 523.00000, 18924.00000
549.82200, 508.00000, 24100.00000
549.87100, 530.00000, 28358.00000
549.92200, 519.00000, 31648.00000
549.97200, 519.00000, 28258.00000
550.02200, 530.00000, 24232.00000
550.07200, 519.00000, 23370.00000
550.12100, 514.00000, 21132.00000
550.17100, 527.00000, 18248.00000
550.22200, 511.00000, 17626.00000
550.27200, 525.00000, 18260.00000
550.32200, 529.00000, 19060.00000
550.37200, 514.00000, 17688.00000
550.42100, 479.00000, 21270.00000
550.47200, 520.00000, 23202.00000
550.52200, 522.00000, 23322.00000
550.57200, 526.00000, 22882.00000
550.62200, 482.00000, 21638.00000
550.67200, 521.00000, 20532.00000
550.72100, 519.00000, 23858.00000
550.77200, 523.00000, 24498.00000
550.82200, 501.00000, 17790.00000
550.87200, 524.00000, 20388.00000
550.92200, 523.00000, 22314.00000
550.97200, 526.00000, 18838.00000
551.02100, 508.00000, 19666.00000
551.07200, 520.00000, 25254.00000
551.12200, 525.00000, 25402.00000
551.17200, 527.00000, 26192.00000
551.22200, 516.00000, 27584.00000
551.27200, 520.00000, 25680.00000
551.32100, 515.00000, 32712.00000
551.37200, 530.00000, 26152.00000
551.42200, 531.00000, 25932.00000
551.47200, 525.00000, 20060.00000
551.52200, 515.00000, 16792.00000
551.57200, 516.00000, 16854.00000
551.62100, 523.00000, 14434.00000
551.67200, 517.00000, 18070.00000
551.72200, 522.00000, 23910.00000
551.77200, 510.00000, 24136.00000
551.82200, 525.00000, 25732.00000
551.87200, 526.00000, 23268.00000
551.92200, 517.00000, 19692.00000
551.97200, 520.00000, 25288.00000
552.02200, 528.00000, 26414.00000
552.07200, 521.00000, 19424.00000
552.12200, 515.00000, 16598.00000
552.17200, 534.00000, 19718.00000
552.22200, 516.00000, 19898.00000
552.27200, 524.00000, 20426.00000
552.32200, 511.00000, 23580.00000
552.37200, 532.00000, 29538.00000
552.42200, 514.00000, 29604.00000
552.47200, 526.00000, 25814.00000
552.52200, 529.00000, 20706.00000
552.57200, 518.00000, 23772.00000
552.62200, 518.00000, 22096.00000
552.67200, 520.00000, 17182.00000
552.72200, 525.00000, 15556.00000
552.77200, 528.00000, 15428.00000
552.82200, 519.00000, 15638.00000
552.87200, 518.00000, 16616.00000
552.92200, 519.00000, 20402.00000
552.97200, 523.00000, 23748.00000
553.02200, 532.00000, 23170.00000
553.07200, 509.00000, 26272.00000
553.12200, 516.00000, 26330.00000
553.17200, 519.00000, 21096.00000
553.22200, 528.00000, 22282.00000
553.27200, 521.00000, 22066.00000
553.32200, 526.00000, 17016.00000
553.37300, 530.00000, 17258.00000
553.42200, 515.00000, 19638.00000
553.47200, 525.00000, 19510.00000
553.52200, 520.00000, 17888.00000
553.57200, 531.00000, 20924.00000
553.62200, 507.00000, 25186.00000
553.67300, 524.00000, 26852.00000
553.72200, 532.00000, -30320.00000
553.77200, 523.00000, 29918.00000
553.82200, 526.00000, 21724.00000
553.87200, 517.00000, 23170.00000
553.92200, 524.00000, 21630.00000
553.97300, 525.00000, 21190.00000
554.02200, 527.00000, 20022.00000
554.07200, 527.00000, 18220.00000
554.12200, 525.00000, 17662.00000
554.17200, 523.00000, 21364.00000
554.22200, 526.00000, 22656.00000
554.27300, 512.00000, 28976.00000
554.32200, 516.00000, 26784.00000
554.37200, 527.00000, 27600.00000
554.42200, 520.00000, 26096.00000
554.47200, 527.00000, 20986.00000
554.52200, 523.00000, 16778.00000
554.57300, 531.00000, 20588.00000
554.62200, 526.00000, 25266.00000
554.67200, 522.00000, 30404.00000
554.72200, 533.00000, 32100.00000
554.77200, 522.00000, 32288.00000
554.82200, 518.00000, 30668.00000
554.87300, 531.00000, 30880.00000
554.92200, 523.00000, -31728.00000
554.97200, 520.00000, 27832.00000
555.02200, 526.00000, 22710.00000
555.07200, 522.00000, 22888.00000
555.12300, 516.00000, 22360.00000
555.17300, 532.00000, 20260.00000
555.22200, 524.00000, 20200.00000
555.27200, 524.00000, 21522.00000
555.32200, 526.00000, 19174.00000
555.37200, 513.00000, 19244.00000
555.42300, 534.00000, 21208.00000
555.47300, 534.00000, 21688.00000
555.52200, 525.00000, 21988.00000
555.57200, 516.00000, 26536.00000
555.62200, 523.00000, 22912.00000
555.67200, 523.00000, 21176.00000
555.72300, 521.00000, 20082.00000
555.77200, 524.00000, 27696.00000
555.82200, 530.00000, 26300.00000
555.87200, 531.00000, 30574.00000
555.92200, 533.00000, 27086.00000
555.97200, 533.00000, 19940.00000
556.02300, 514.00000, 16736.00000
556.07200, 522.00000, 19898.00000
556.12200, 517.00000, 18764.00000
556.17200, 516.00000, 21930.00000
556.22200, 515.00000, 24934.00000
556.27200, 518.00000, 24582.00000
556.32300, 525.00000, 24268.00000
556.37200, 520.00000, 24198.00000
556.42200, 518.00000, 22158.00000
556.47200, 518.00000, 20704.00000
556.52200, 519.00000, 19814.00000
