t, reading, imuVal 
357.35000, 517.00000, 23868.00000
357.40000, 526.00000, 23352.00000
357.45100, 527.00000, 23766.00000
357.50000, 524.00000, 23610.00000
357.55000, 517.00000, 23864.00000
357.60000, 522.00000, 23480.00000
357.65000, 531.00000, 23616.00000
357.70000, 522.00000, 23968.00000
357.75100, 524.00000, 23912.00000
357.80000, 525.00000, 23926.00000
357.85000, 528.00000, 23720.00000
357.90000, 519.00000, 23638.00000
357.95000, 517.00000, 23778.00000
358.00000, 526.00000, 23886.00000
358.05100, 525.00000, 23786.00000
358.01000, 520.00000, 23634.00000
358.15000, 519.00000, 23516.00000
358.20000, 530.00000, 23962.00000
358.25000, 516.00000, 23868.00000
358.30100, 525.00000, 23770.00000
358.35100, 519.00000, 23564.00000
358.40000, 534.00000, 23722.00000
358.45000, 518.00000, 24010.00000
358.50000, 522.00000, 23618.00000
358.55000, 523.00000, 23478.00000
358.60100, 525.00000, 23974.00000
358.65100, 528.00000, 23750.00000
358.70000, 520.00000, 23864.00000
358.75000, 516.00000, 23604.00000
358.80000, 519.00000, 23468.00000
358.85000, 515.00000, 23918.00000
358.90100, 517.00000, 23632.00000
358.95100, 525.00000, 23742.00000
359.00000, 527.00000, 23704.00000
359.05000, 524.00000, 23640.00000
359.01000, 529.00000, 23842.00000
359.15000, 525.00000, 23762.00000
359.20100, 520.00000, 23618.00000
359.25100, 523.00000, 23884.00000
359.30000, 527.00000, 23854.00000
359.35000, 524.00000, 23728.00000
359.40000, 519.00000, 23598.00000
359.45000, 526.00000, 23650.00000
359.50100, 525.00000, 23842.00000
359.55100, 514.00000, 23734.00000
359.60000, 519.00000, 23838.00000
359.65000, 523.00000, 23796.00000
359.70000, 523.00000, 23560.00000
359.75000, 523.00000, 23694.00000
359.80100, 527.00000, 23550.00000
359.85100, 527.00000, 23904.00000
359.90000, 517.00000, 23648.00000
359.95000, 517.00000, 23658.00000
360.00000, 510.00000, 23718.00000
360.05100, 524.00000, 23536.00000
360.10100, 510.00000, 23794.00000
360.15100, 521.00000, 23714.00000
360.20000, 530.00000, 23780.00000
360.25000, 527.00000, 24184.00000
360.30000, 516.00000, 23546.00000
360.35100, 520.00000, 23464.00000
360.40100, 518.00000, 23834.00000
360.45100, 518.00000, 24014.00000
360.50000, 520.00000, 23834.00000
360.55000, 513.00000, 23802.00000
360.60000, 521.00000, 23638.00000
360.65100, 531.00000, 23798.00000
360.70100, 525.00000, 23976.00000
360.75100, 525.00000, 23820.00000
360.80000, 524.00000, 23698.00000
360.85000, 528.00000, 23652.00000
360.90000, 520.00000, 23972.00000
360.95100, 518.00000, 24104.00000
361.01000, 525.00000, 23530.00000
361.05100, 520.00000, 23370.00000
361.01000, 515.00000, 23796.00000
361.15000, 519.00000, 24282.00000
361.20000, 512.00000, 23584.00000
361.25100, 530.00000, 23836.00000
361.30100, 518.00000, 24032.00000
361.35100, 529.00000, 23620.00000
361.40000, 521.00000, 23588.00000
361.45000, 520.00000, 23760.00000
361.50100, 520.00000, 23590.00000
361.55100, 531.00000, 23750.00000
361.60100, 522.00000, 23666.00000
361.65100, 519.00000, 23902.00000
361.70000, 527.00000, 24056.00000
361.75000, 516.00000, 23730.00000
361.80100, 514.00000, 23710.00000
361.85100, 526.00000, 24210.00000
361.90100, 515.00000, 23536.00000
361.95100, 520.00000, 23910.00000
362.00000, 522.00000, 24080.00000
362.05000, 522.00000, 23572.00000
362.10100, 522.00000, 23820.00000
362.15100, 525.00000, 23938.00000
362.20100, 525.00000, 23756.00000
362.25100, 520.00000, 23928.00000
362.30000, 522.00000, 23324.00000
362.35000, 521.00000, 23792.00000
362.40100, 524.00000, 23978.00000
362.45100, 520.00000, 23574.00000
362.50100, 531.00000, 24004.00000
362.55100, 522.00000, 23718.00000
362.60000, 512.00000, 23390.00000
362.65000, 539.00000, 23468.00000
362.70100, 525.00000, 23988.00000
362.75100, 522.00000, 24096.00000
362.80100, 520.00000, 24108.00000
362.85100, 520.00000, 23638.00000
362.90000, 532.00000, 23366.00000
362.95000, 532.00000, 23558.00000
363.01000, 524.00000, 24070.00000
363.05100, 523.00000, 23742.00000
363.10100, 522.00000, 23712.00000
363.15100, 519.00000, 24072.00000
363.20000, 517.00000, 23618.00000
363.25100, 531.00000, 23934.00000
363.30100, 526.00000, 23578.00000
363.35100, 528.00000, 23760.00000
363.40100, 518.00000, 23874.00000
363.45100, 512.00000, 23662.00000
363.50000, 529.00000, 23862.00000
363.55100, 531.00000, 24076.00000
363.60100, 522.00000, 23648.00000
363.65100, 521.00000, 23722.00000
363.70100, 518.00000, 24082.00000
363.75100, 522.00000, 23820.00000
363.80000, 519.00000, 23556.00000
363.85100, 516.00000, 24026.00000
